ID,NAME,RA,Dec,isObserved,Desc,Publications
105,Src105,205.43575,47.690694,False,Blue Metal poor stars: Are these field blue stragglers with detectable WD companion?,-
106,Src106,258.537667,58.818389,False,Far-ultraviolet imaging of host galaxies of bona fide intermediate-mass black holes,-
107,Src107,239.454167,-54.415,False,Target of Opportunity,-
108,Src108,94.992575,-10.637417,True,Last Gasps of AGB stars while turning into Planetary Nebulae.,"80,68"
109,Src109,220.329917,7.792994,False,A UVIT view into the formation and evolution of Polar Ring Galaxies,-
110,Src110,287.442083,-63.857528,False,PHANGS-AstroSat: Resolving the Effect of Galactic Environment on Cloud and Cluster Lifetimes with UVIT,-
111,Src111,272.68275,-27.963917,False,Far UV Spectroscopy of the Suspected Symbiotic Systems,-
112,Src112,274.281375,-56.023356,True,X-ray observation of nearby Black hole system QV Tel (HR 6819),"39,54"
113,Src113,272.462708,-27.766858,False,Far UV Spectroscopy of the Suspected Symbiotic Systems,-
114,Src114,255.705754,-48.789767,False,Target of Opportunity,-
115,Src115,246.416125,40.801167,False,Far-ultraviolet imaging of host galaxies of bona fide intermediate-mass black holes,-
116,Src116,255.754261,-48.604031,True,Target of Opportunity,"70,64"
117,Src117,255.981332,-48.73965,False,Target of Opportunity,-
118,Src118,255.899417,-48.972779,False,Target of Opportunity,-
119,Src119,226.004975,10.437716,False,Far UV emission and the origin of soft X-ray excess emission in PG quasars,-
120,Src120,246.416125,40.801167,True,Far-ultraviolet imaging of host galaxies of bona fide intermediate-mass black holes,"24,62"
121,Src121,241.382667,17.80725,False,Far-ultraviolet imaging of host galaxies of bona fide intermediate-mass black holes,-
122,Src122,203.100833,11.106389,False,An FUV Study of Star Formation and Stellar/AGN Feedback in Double Nuclei Galaxies.,-
123,Src123,76.339345,-70.477508,False,A first-look Astrosat/UVIT FUV.Silica survey of the Large Magellanic Cloud,-
124,Src124,77.417499,-70.50125,True,A first-look Astrosat/UVIT FUV.Silica survey of the Large Magellanic Cloud,"39,78"
125,Src125,138.603125,11.940417,False,Far-ultraviolet imaging of host galaxies of bona fide intermediate-mass black holes,-
126,Src126,120.999833,9.979667,False,Far-ultraviolet imaging of host galaxies of bona fide intermediate-mass black holes,-
