ID,NAME,RA,Dec,isObserved,Desc,Publications
68,Src68,172.54725,44.25525,True,Search for XUV disks in Blue Compact Dwarfs,"77,13"
69,Src69,182.681792,42.264225,True,Search for XUV disks in Blue Compact Dwarfs,"16,25"
70,Src70,197.749458,51.487233,True,Search for XUV disks in Blue Compact Dwarfs,"74,51"
71,Src71,80.48575,43.989444,True,A non-interacting red giant$+$black hole (?)  binary: refining system parameters,"66,20"
72,Src72,237.391917,70.348089,True,Calibration,"4,25"
73,Src73,201.696833,-47.479583,True,Globular cluster UVIT Legacy Survey (GlobULeS),"81,39"
74,Src74,215.303333,-62.698333,True,Quiescence study of Be/X-ray binary pulsars 2S~1417-624 and EXO~2030+375 with Astrosat,"40,54"
75,Src75,225.076875,-82.213694,True,Globular cluster UVIT Legacy Survey (GlobULeS),"72,48"
76,Src76,172.54725,44.25525,True,Search for XUV disks in Blue Compact Dwarfs,"48,13"
77,Src77,182.681792,42.264225,True,Search for XUV disks in Blue Compact Dwarfs,"6,83"
78,Src78,191.282583,45.44025,True,Last Gasps of AGB stars while turning into Planetary Nebulae.,"63,78"
79,Src79,35.3775,39.366111,True,Understanding Star Formation in the Disks and Tidal Arms of Closely Interacting Galaxies,"48,80"
80,Src80,241.110625,40.683042,True,"An UVIT/FUV investigation of Bipolar and multipolar Planetary Nebulae and their halos, rings and jets.","8,57"
81,Src81,197.749458,51.487233,True,Search for XUV disks in Blue Compact Dwarfs,"12,52"
82,Src82,197.202917,-6.7775,True,Assessing feedback and recent star formation in nuclear rings with UVIT observations of the MUSE-TIMER galaxy sample,"11,72"
83,Src83,99.135417,35.595361,True,A Survey of Hard Intermediate Polars,"21,7"
84,Src84,99.135417,35.595361,True,A Survey of Hard Intermediate Polars,"82,18"
85,Src85,114.535292,38.882444,True,Globular cluster UVIT Legacy Survey (GlobULeS),"8,16"
86,Src86,129.684375,43.372275,True,Search for XUV disks in Blue Compact Dwarfs,"43,70"
87,Src87,237.391917,70.348089,True,Calibration,"78,71"
88,Src88,84.395425,-70.194733,True,A first-look Astrosat/UVIT FUV.Silica survey of the Large Magellanic Cloud,"81,86"
89,Src89,85.457556,-70.170906,True,A first-look Astrosat/UVIT FUV.Silica survey of the Large Magellanic Cloud,"4,5"
90,Src90,86.516968,-70.140823,True,A first-look Astrosat/UVIT FUV.Silica survey of the Large Magellanic Cloud,"36,37"
91,Src91,162.097917,-25.162056,True,Understanding the interplay between AGN and Star formation in Seyfert 2 galaxies with UVIT and MUSE observations,"40,71"
92,Src92,83.331199,-70.212284,True,A first-look Astrosat/UVIT FUV.Silica survey of the Large Magellanic Cloud,"7,9"
93,Src93,82.265509,-70.223543,True,A first-look Astrosat/UVIT FUV.Silica survey of the Large Magellanic Cloud,"78,64"
94,Src94,81.198998,-70.228499,True,A first-look Astrosat/UVIT FUV.Silica survey of the Large Magellanic Cloud,"53,38"
95,Src95,94.992575,-10.637417,True,Last Gasps of AGB stars while turning into Planetary Nebulae.,"67,22"
96,Src96,255.705667,-48.789667,True,Target of Opportunity,"59,28"
97,Src97,211.591208,22.396254,True,{\it AstroSat} observation of PG 1404+226 to reveal an outflowing accretion disk winds,"53,75"
98,Src98,193.051921,-13.41472,True,Nature of the accretion disk in a Seyfert 1 galaxy NGC~4748,"42,32"
99,Src99,191.8,13.900356,True,PHANGS-AstroSat: Resolving the Effect of Galactic Environment on Cloud and Cluster Lifetimes with UVIT,"25,15"
100,Src100,186.481667,18.213889,True,Assessing feedback and recent star formation in nuclear rings with UVIT observations of the MUSE-TIMER galaxy sample,"6,64"
101,Src101,49.897333,-32.846167,True,Blue Metal poor stars: Are these field blue stragglers with detectable WD companion?,"4,57"
102,Src102,48.724083,-14.731889,True,Blue Metal poor stars: Are these field blue stragglers with detectable WD companion?,"14,54"
103,Src103,112.672708,24.085167,True,Blue Metal poor stars: Are these field blue stragglers with detectable WD companion?,"17,56"
104,Src104,87.203075,-68.889408,True,A first-look Astrosat/UVIT FUV.Silica survey of the Large Magellanic Cloud,"48,24"
105,Src105,205.43575,47.690694,True,Blue Metal poor stars: Are these field blue stragglers with detectable WD companion?,"82,23"
106,Src106,258.537667,58.818389,True,Far-ultraviolet imaging of host galaxies of bona fide intermediate-mass black holes,"77,78"
107,Src107,239.454167,-54.415,True,Target of Opportunity,"3,56"
108,Src108,94.992575,-10.637417,True,Last Gasps of AGB stars while turning into Planetary Nebulae.,"38,48"
109,Src109,220.329917,7.792994,True,A UVIT view into the formation and evolution of Polar Ring Galaxies,"2,29"
110,Src110,287.442083,-63.857528,True,PHANGS-AstroSat: Resolving the Effect of Galactic Environment on Cloud and Cluster Lifetimes with UVIT,"81,64"
111,Src111,272.68275,-27.963917,True,Far UV Spectroscopy of the Suspected Symbiotic Systems,"10,59"
112,Src112,274.281375,-56.023356,True,X-ray observation of nearby Black hole system QV Tel (HR 6819),"62,75"
113,Src113,272.462708,-27.766858,True,Far UV Spectroscopy of the Suspected Symbiotic Systems,"73,56"
114,Src114,255.705754,-48.789767,True,Target of Opportunity,"70,8"
115,Src115,246.416125,40.801167,True,Far-ultraviolet imaging of host galaxies of bona fide intermediate-mass black holes,"24,48"
116,Src116,255.754261,-48.604031,True,Target of Opportunity,"81,1"
117,Src117,255.981332,-48.73965,True,Target of Opportunity,"58,18"
118,Src118,255.899417,-48.972779,True,Target of Opportunity,"39,71"
119,Src119,226.004975,10.437716,True,Far UV emission and the origin of soft X-ray excess emission in PG quasars,"83,78"
120,Src120,246.416125,40.801167,True,Far-ultraviolet imaging of host galaxies of bona fide intermediate-mass black holes,"9,35"
121,Src121,241.382667,17.80725,True,Far-ultraviolet imaging of host galaxies of bona fide intermediate-mass black holes,"28,15"
122,Src122,203.100833,11.106389,True,An FUV Study of Star Formation and Stellar/AGN Feedback in Double Nuclei Galaxies.,"54,70"
123,Src123,76.339345,-70.477508,True,A first-look Astrosat/UVIT FUV.Silica survey of the Large Magellanic Cloud,"80,69"
124,Src124,77.417499,-70.50125,True,A first-look Astrosat/UVIT FUV.Silica survey of the Large Magellanic Cloud,"78,69"
125,Src125,138.603125,11.940417,True,Far-ultraviolet imaging of host galaxies of bona fide intermediate-mass black holes,"12,43"
126,Src126,120.999833,9.979667,True,Far-ultraviolet imaging of host galaxies of bona fide intermediate-mass black holes,"44,14"
