idx,date_time,proposal_id,target_id,obsid,object,ra,dec,ins,abstract,PI
11,2018-09-13 23:24:16,C03_015,T03,C03_015T03_9000002366,NGC 188,12.080000,85.223917,uvit1,"This object needs to be observed at regular intervals to track the sensitivity of the instrument. Suggested observations: , 15 December 2017, 15 March 2018, 15 June 2018 and 15 September 2018.",annapurni
12,2018-09-14 03:51:22,T02_091,T01,T02_091T01_9000002368,Crab,83.633083,22.014494,laxpc2,"This proposal is for Astrosat participation in the bi-annual multi-mission cross-correlation activity organised by IACHEC. It is proposed to carry out the Astrosat observations this time in two parts: Part-I with SXT pointing and Part-II with LAXPC pointing, as it is essential to have the source on- axis in a given instrument for calibration of its effective area and response function. It may be noted that the last coordinated observations in April 2018 were carried out with UVIT and CZTI pointings.",dipankar
13,2018-09-15 06:03:32,G08_012,T01,G08_012T01_9000002370,M33,23.461667,30.726667,uvit2,"We propose one UVIT pointing which covers most of this important local group galaxy. The central field includes all the strongest star-formation regions, a few high extinction regions, the two major spiral arms, virtually all of the CO detected in M33. We propose filters to allow us to discern - for the first time and uniquely with UVIT- both the amount of extinction and the type of extinction curve (dust properties may be varying in the vicinity of the hottest stars. Therefore, we should be able to derive an unbiased correction for extinction, hence both an extinction map and an unbiased (free from parameter degeneracy) characterization of the hot stars. X-ray observations will be done which will help anchor sources with Chandra maps. We also have time for a survey of M33 with Hubble, that will complement the larger UVIT field.",hutchingsj
14,2018-09-17 03:19:24,T02_101,T01,T02_101T01_9000002372,4u1630-472,248.506708,-47.393000,laxpc1,"The X-ray transient source 4U1630-472 is in its outburst and is in its decay phase now. A preliminary analysis of the initial observations of the source in its rising phase is carried out and we would like to observe the source during its decay phase also, to do detailed spectral and timing studies with AstroSat. We propose to observe the black-hole transient with SXT, LAXPC and CZTI payloads onboard AstroSat during this outburst. We plan to observe this source for 10 ks per day during the complete outburst. The data obtained will be used to study the spectral transition, complex spectral and temporal behaviour. This proposal is in continuation of the earlier proposal T02_100, in order to observe the source every day for 10 ks during its entire outburst.",ramadevi
15,2018-09-17 08:09:52,A04_230,T01,A04_230T01_9000002374,Her X-1,254.457542,35.342333,laxpc1,"We request two 40 ks (total 80 ks) ASTROSAT observation (~ 6 months apart) of Her X-1 with LAXPC (prime), SXT and CZTI to study the characteristics of the cyclotron line in its X-ray spectrum. In Her X-1 a long-term decay of cyclotron line energy Ecyc has been found during the period 1995-2004. But recently in August 2016, an upward trend has been noticed. A similar upward jump occurred during 1990-1993, but no observation was done to cover this earlier episode. We are now presented with an excellent opportunity to track this upward trend by continuously monitoring the object using several current satellites. Time has already been granted by NuSTAR for two observations (half a year apart), and the corresponding proposal has been submitted for INTEGRAL. We propose ASTROSAT observations as a part of this multi-mission monitoring programme for the cyclotron line in Her X-1.",sumanbala
16,2018-09-18 13:50:00,T02_110,T01,T02_110T01_9000002376,4C +38.41,248.811667,38.152500,sxt,"I propose a 50 ks observation of flaring blazar 4C +38.41 in its current X-ray flaring state (Atels 12037)}. I wish to conduct a multi-wavelength follow up of the source flaring activity in the X-ray, UV and optical bands using LAXPC, SXT and UVIT on-board Astrosat. A recent Atel notification dated 14/09/2018 (ATel 12037) has indicated that the source has started displaying enhanced X-ray flaring activity compared to all its previous activity (Raiteri et al. 2012). Source is still in active state in optical since 10 Sept 2018 (Atel 12025) and also confirmed in Atel 12034 on 12 Sept 2018. Source has also shown the high energy gamma-ray activity observed by the Fermi-LAT and AGILE detector (Atel 12027, 12026).  Astrosat, with its many different payloads, will provide multi-band light curves that will be ideally suited to understand the unstable processes and emission mechanisms in this source.",raj
17,2018-09-19 19:50:00,A04_209,T01,A04_209T01_9000002378,NGC628,24.173950,15.783660,uvit1,"The objective of this project is to characterize with unprecedented accuracy the star-forming regions of one of the best studied nearby spiral galaxies, NGC 628, by combining two highly complementary tools: imaging spectroscopy in the visible of the ionized gas using SITELLE (data in hand) and ultraviolet imagery of the underlying ionizing stellar populations using UVIT. A set of UVIT filters is selected (FUV-F2, FUV-F5, NUV-F2, NUV-F3, NUV-F5, and VIS1) to cover sensitive regions over the SED of young stellar clusters. While SITELLE provides, with a spatial resolution similar to UVIT, a measurement of the gas emission lines, the clusters’ parameters will become inputs for a photoionization code used to gather the gas properties. These combined information from the ionized gas and stellar populations will allow us to study the impact of star formation and different mixing mechanisms on the evolution of an isolated spiral galaxy.",carobert
18,2018-09-20 19:23:22,T02_094,T01,T02_094T01_9000002380,Hercules X-1,254.457546,35.342357,uvit1,"Her X-1 is to be intensely observed by UVIT, SXT, LAXPC, and CZTI instruments for one full binary during main high state. The neutron star illuminates the companion star, accretion disk, accretion stream and disk corona. This causes detectable X-rays and UV from these structures which are orbital phase dependent. Modelling of the orbital-phase dependent light curves in multiple energy band will be used to map these structures in the binary system. Time delays between the pulsations in the different energy bands will enable extraction of line-of-sight travel time delays and distances. The expected scientific results are: i) to obtain the geometry of the Xray heating of HZ Her, the accretion disk, the accretion stream and the corona; and ii) to precisely determine the inclination of the binary. The improved system inclination will allow precise binary parameters and result in a well-determined neutron star mass.",dleahy
19,2018-09-21 19:29:36,C03_015,T04,C03_015T04_9000002382,NGC 188,12.080000,85.223917,uvit1,"This object needs to be observed at regular intervals to track the sensitivity of the instrument. Suggested observations: , 15 December 2017, 15 March 2018, 15 June 2018 and 15 September 2018.",annapurni
20,2018-09-21 22:36:42,T02_092,T01,T02_092T01_9000002384,HER X-1,254.457542,35.342333,laxpc2,"Her X-1 has just undergone its outburst phase reaching its intensity of about 300 mCrab in energy band covering 15-50 keV, as observed by Swift-BAT Monitor. We therefore, planned to utilize this opportunity to observe the source within next few days to investigate and verify inversion of its usual decay-trend of the cyclotron line-energy of Hercules X-1. This would a remarkable achievement of Astrosat observations, if we could confirm this fact. We would also study correlation of light-curves covering possible wave bands, X-rays, UV and optical with Astrosat. We, therefore, proposed this observation covering wider X-ray energy-band from 0.5-80 keV, with a net exposure of 40 k-seconds. The prime instrument would be LAXPC for the observation, and data from SXT, CZTI and UVIT would also be utilised for correlation studies.",Kmukerjee
21,2018-09-23 00:42:06,T02_109,T01,T02_109T01_9000002386,V471 Tau,57.604029,17.246509,sxt,"The orbital period variations in post-common-envelope binaries were long thought to be due to circumbinary companions, mostly planets. However, observations of V471 Tau have suggested that this model isn''t tenable, requiring that such variations are only due to the poorly-understood Applegate dynamo mechanism. New observations by K2 suggest that the companion hypothesis may be correct after all, but further confirmation is necessary. ASTROSAT is the perfect instrument for performing these confirmation observations.",lalithasairam
22,2018-09-27 15:14:28,T02_110,T01,T02_110T01_9000002388,4C +38.41,248.811667,38.152500,sxt,"I propose a 50 ks observation of flaring blazar 4C +38.41 in its current X-ray flaring state (Atels 12037)}. I wish to conduct a multi-wavelength follow up of the source flaring activity in the X-ray, UV and optical bands using LAXPC, SXT and UVIT on-board Astrosat. A recent Atel notification dated 14/09/2018 (ATel 12037) has indicated that the source has started displaying enhanced X-ray flaring activity compared to all its previous activity (Raiteri et al. 2012). Source is still in active state in optical since 10 Sept 2018 (Atel 12025) and also confirmed in Atel 12034 on 12 Sept 2018. Source has also shown the high energy gamma-ray activity observed by the Fermi-LAT and AGILE detector (Atel 12027, 12026).  Astrosat, with its many different payloads, will provide multi-band light curves that will be ideally suited to understand the unstable processes and emission mechanisms in this source.",raj
23,2018-09-28 00:50:00,T02_112,T01,T02_112T01_9000002390,SAX 1750.8-2009,267.601750,-29.037611,sxt,"\textbf{SAX J1750.8-2009, a neutron star X-ray binary}, has been showing \textbf{erratic outburst activity since its discovery in 1997.} During periods of outbursts, its \textbf{X-ray spectra show alternating episodes of spectral softening and hardening.} The earlier attempts to study its peculiar spectral and temporal behaviour have been limited by the spectral and timing resolution of previous X-ray missions. \textbf{This source has never been observed by the instruments having unprecedented spectral and temporal resolution on-board {\em AstroSat}}. \textbf{As per ATel \#12048, SAX J1750.8-2009 is currently showing renewed activity.} Simultaneous observations of the source with SXT and LAXPC in 0.3 - 80 keV energy range during its current state may give us substantial clarity of its peculiar spectral evolution and rapid temporal variability. \textbf{We plan to schedule a ToO of the source using SXT and LAXPC on-board {\em AstroSat} with SXT as primary instrument.}",nealtitusthomas
24,2018-10-01 03:23:04,A05_182,T02,A05_182T02_9000002392,NGC 654(2),26.012292,61.888972,uvit1,"Our proposal is to search for the elusive Be binary systems with white-dwarf (WD) or subdwarf O-type (sdO) star being the companion to the Be star. Theoretical models suggested that there can be ~10^5 Be-WD and Be-sdO systems in our galaxy. However, no Be-WD system is detected till now and only a few (about 4) binaries were found to belong to Be-sdO category. We identified 8 Be stars in open clusters showing excess in NUV GALEX band. The possible UV excess is suggestive of a WD or sdO companion. However, there are no observation of these sources in the GALEX FUV, which is very much important to characterize the WD/sdO companion. We plan to image these 8 Be stars with UVIT in FUV and NUV filters, thereby characterizing the nature of the ‘invisible’ hot companion.",PaulKT
25,2018-10-01 09:57:14,A05_072,T05,A05_072T05_9000002394,NGC 6809,294.998792,-30.964750,uvit2,"Recent studies have shown that most of the Globular clusters (GCs) have multiple stellar populations. GCs also harbour exotic stars such as blue straggler stars (BSS, products of stellar collision, merger or mass transfer), horizontal branch (HB) and extreme HB stars which are found more in the core of the GCs. The HST treasury is a goldmine for the GC cores (inner 3 arcmin) in the optical and near-UV wavelengths. UVIT has the unique capability to create a complimentary treasury in the Far and near UV passbands, for not only the core, but also the full cluster. We propose to study selected GCs from the HST treasury survey, that have wide field photometry from ground observations. This UVIT+HST+Ground treasury will be a unique data set, covering the entire cluster in the FUV, NUV and optical passbands. We request for 2 FUV and one NUV pass band observations for 8 clusters.",annapurni
26,2018-10-02 10:37:50,A05_212,T08,A05_212T08_9000002396,BD+17 4708,332.880708,18.092833,uvit2,"We propose to map stars in the Galactic Halo, in various UVIT filters, in order to spatially map the halo metallicity. Such a study is important for understanding the formation of the Galactic Halo. We will also be surveying other major stellar constituents of the Halo through this survey. UVIT is uniquely suited for this purpose, not only because the strongest metal lines in late type stars occur in UV but also because UVIT filters are designed to sample these lines. Its wide field and spatial resolution are well suited for this purpose and can sample halo on both sides of the plane by the same set of instruments. The proposal has TWO parts: calibrations and survey of the Galactic Halo. In this proposal we would like to observe stars with a range in metallicity, Teff, log g and establish their relationship with various UVIT filter indices.",nkrao
27,2018-10-02 12:34:50,A05_212,T09,A05_212T09_9000002398,HE 2239-5019,340.611792,-50.066917,uvit2,"We propose to map stars in the Galactic Halo, in various UVIT filters, in order to spatially map the halo metallicity. Such a study is important for understanding the formation of the Galactic Halo. We will also be surveying other major stellar constituents of the Halo through this survey. UVIT is uniquely suited for this purpose, not only because the strongest metal lines in late type stars occur in UV but also because UVIT filters are designed to sample these lines. Its wide field and spatial resolution are well suited for this purpose and can sample halo on both sides of the plane by the same set of instruments. The proposal has TWO parts: calibrations and survey of the Galactic Halo. In this proposal we would like to observe stars with a range in metallicity, Teff, log g and establish their relationship with various UVIT filter indices.",nkrao
28,2018-10-02 14:26:10,A05_225,T04,A05_225T04_9000002400,NGC 1030,39.960829,18.024280,uvit1,"ASTROSAT UVIT observations of star formation efficiency and feedback signatures in some of the most massive spiral galaxies with rotation velocities $V_{rot} > 300$~km \, s$^{-1}$ are proposed. These galaxies clearly depart from stellar-mass and baryonic-mass Tully-Fisher relations, indicating a significant shortfall of ``condensed"" baryon fraction in them, despite their large halo mass. The high sensitivity of UVIT and its arcsecond scale resolution will be used to investigate their puzzling nature.",joydeep
29,2018-10-02 20:10:22,A05_101,T04,A05_101T04_9000002402,IC 5110,322.680792,-60.001830,uvit1,"We propose to study the UV emission from a sample of 10 closely interacting, spiral galaxies that show evidence of star formation in their galaxy disks and tidal tails. These observations can help us understand the role of mergers in the formation of massive galaxies in our Universe. The AGN activity and enhanced star formation also leads to winds that enrich the galaxy environments. We have already done near-infrared (NIR) observations of the sample using the 1m NIR South African Astronomical Observatory and the galaxies have been detected by Galex. We have checked that the sample is safe to be observed by the UVIT and have adequate UV flux. The higher sensitivity and spatial resolution of UVIT compared to GALEX will help us image the UV emission from the tidal arms/bridges, detect tidal dwarf galaxies (TDGs), isolate massive star forming regions and separate the AGN UV emission from the disk.",mousumi
30,2018-10-02 21:55:34,A05_101,T04,A05_101T04_9000002402,IC 5110,322.680792,-60.001830,uvit1,"We propose to study the UV emission from a sample of 10 closely interacting, spiral galaxies that show evidence of star formation in their galaxy disks and tidal tails. These observations can help us understand the role of mergers in the formation of massive galaxies in our Universe. The AGN activity and enhanced star formation also leads to winds that enrich the galaxy environments. We have already done near-infrared (NIR) observations of the sample using the 1m NIR South African Astronomical Observatory and the galaxies have been detected by Galex. We have checked that the sample is safe to be observed by the UVIT and have adequate UV flux. The higher sensitivity and spatial resolution of UVIT compared to GALEX will help us image the UV emission from the tidal arms/bridges, detect tidal dwarf galaxies (TDGs), isolate massive star forming regions and separate the AGN UV emission from the disk.",mousumi
31,2018-10-03 07:36:08,A05_034,T01,A05_034T01_9000002404,AT Mic,310.463163,-32.435230,sxt,"We ask for ASTROSAT time to observe three flaring red dwarfs: AT Mic, YZ CMi, and EQ Peg; we request 20 ks of observations for each target (60 ks in total). All three stars are known for high activity level, the flares have been detected in different spectral ranges, including X-rays. We expect to detect at least one flare from each star and obtain their X-ray light curves and spectra. We propose to use SXT as the primary instrument and LAXPC and CZTI as secondary instruments. These data will be used to a) estimate the parameters of the thermal and non-thermal electrons in the flares; b) investigate the Neupert effect in the stellar flares and analyze its similarities/differences from the solar case; c) analyze the quasi-periodic oscillations (if detected).",chandrashekhar.k
32,2018-10-04 09:28:44,A05_096,T04,A05_096T04_9000002406,RX J0439.8-6809,69.956833,-68.150389,uvit1,"%latex%Supersoft X-ray sources (SSSs) are highly luminous, low-$kT$ ($\sim$15-80~eV) sources, interpreted as steady thermonuclear burning on the surface of a white dwarf accreting at an extreme rate from its companion. Reprocessing in the surrounding envelope leads to high optical and UV fluxes. Maintaining the high $\dot{M}$ requires either a high-mass donor or extreme irradiation of a low-mass donor to drive a wind, but no direct donor observations have been made yet. In AO-3 and AO-4, we obtained SXT/FUV/NUV data of the known eclipsing SSS CAL87 (LMC, $P_{\rm orb}=10.6{\rm~hr}$) and the new SSS transient ASASSN-16oh (SMC, $P_{\rm orb}>5{\rm~d}$), demonstrating that these instruments are ideal for observing SSS. We propose to obtain similar SXT/FUV/NUV observations of five other Magellanic Cloud SSS, to undertake systematic modelling of the disc, disc-wind and SSS components for the first time. This could provide constraints on SSS evolution, which is essential in their SN~Ia progenitor candidacy.",Alida
33,2018-10-05 09:52:40,C04_007,T01,C04_007T01_9000002408,Crab,83.633208,22.014460,sxt,"It is essential to monitor and improve spectral characterization of SXT. To this purpose, we propose 5 targets including background observations for a total of 138ks. All our targets are standard calibration targets for X-ray CCD cameras in space. The targets will be used for different aspects of SXT calibration including effective area, response, gain, etc. We propose to observe crab in the bias mode, calibration mode and in the photon counting mode. All except the background target have been observed with SXT earlier. Regular observations during Cal phases will help us (i) to track possible changes due to irradiation, contamination, temperature related changes, etc in space, and (ii) improve current level of calibration. The resulting data would be crucial for cross-calibration with other instruments in the soft X-rays and also provide more confidence on the measurements of the low energy interstellar absorption.",gulabd
34,2018-10-05 16:21:26,A05_149,T04,A05_149T04_9000002410,NGC 7027,316.757500,42.236111,uvit1,"We plan to map X-ray bright Planetary nebulae (PN) in various FUV and NUV filters that isolate high excitation spectral lines like 1550 A CIV, 1640 A He II and intermediate and low excitation lines like 2326 CII] , 2470 A [O II] etc to study the shocked regions in the nebula (by stellar winds) and their thermal and photoionization structures. These studies are important in obtaining better physical model of the nebula and for the studies of elemental abundances. They also illustrate how stellar wind interactions change the structure of the PNs",nkrao
35,2018-10-05 21:16:36,A05_101,T01,A05_101T01_9000002412,ESO235-IG023,314.637079,-49.284720,uvit1,"We propose to study the UV emission from a sample of 10 closely interacting, spiral galaxies that show evidence of star formation in their galaxy disks and tidal tails. These observations can help us understand the role of mergers in the formation of massive galaxies in our Universe. The AGN activity and enhanced star formation also leads to winds that enrich the galaxy environments. We have already done near-infrared (NIR) observations of the sample using the 1m NIR South African Astronomical Observatory and the galaxies have been detected by Galex. We have checked that the sample is safe to be observed by the UVIT and have adequate UV flux. The higher sensitivity and spatial resolution of UVIT compared to GALEX will help us image the UV emission from the tidal arms/bridges, detect tidal dwarf galaxies (TDGs), isolate massive star forming regions and separate the AGN UV emission from the disk.",mousumi
36,2018-10-06 08:35:02,A05_069,T02,A05_069T02_9000002414,NGC 6960-IV,312.258667,30.404972,uvit1,"The 5000- 8000 yr old Cygnus supernova remnant (SNR), 450 pc away, is optically, UV and x-ray bright, and serves as an excellent laboratory to study the propagation and the interaction of the supernova shock and its ejecta, as the blast wave propagates through the interstellar medium. We request herein Astrosat multiwaveband time to continue our program to map out this SNR in the UV narrow band filters, as well as in soft x-ray (0.3-10 keV) bands. The narrow band UVIT/NUV, and narrow + broad band UVIT/FUV filters trace emission line regions in C IV, He II, and Mg II, our observations will detect and isolate regions of hot (10$^{4-5}$ K) and intermediate (5000- 8000 K) temperatures. Combined with Astrosat/SXT spectra and, archival x-ray and optical data of select fields, this will help determinethe evolving physical conditions as the SN blast wave and ejecta interact with the local ISM.",fsutaria
37,2018-10-07 05:41:56,A05_069,T03,A05_069T03_9000002416,NGC 6960-V,311.885958,30.741139,uvit1,"The 5000- 8000 yr old Cygnus supernova remnant (SNR), 450 pc away, is optically, UV and x-ray bright, and serves as an excellent laboratory to study the propagation and the interaction of the supernova shock and its ejecta, as the blast wave propagates through the interstellar medium. We request herein Astrosat multiwaveband time to continue our program to map out this SNR in the UV narrow band filters, as well as in soft x-ray (0.3-10 keV) bands. The narrow band UVIT/NUV, and narrow + broad band UVIT/FUV filters trace emission line regions in C IV, He II, and Mg II, our observations will detect and isolate regions of hot (10$^{4-5}$ K) and intermediate (5000- 8000 K) temperatures. Combined with Astrosat/SXT spectra and, archival x-ray and optical data of select fields, this will help determinethe evolving physical conditions as the SN blast wave and ejecta interact with the local ISM.",fsutaria
38,2018-10-07 20:33:42,A05_069,T04,A05_069T04_9000002418,NGC 6960-VI,312.426000,29.988861,uvit1,"The 5000- 8000 yr old Cygnus supernova remnant (SNR), 450 pc away, is optically, UV and x-ray bright, and serves as an excellent laboratory to study the propagation and the interaction of the supernova shock and its ejecta, as the blast wave propagates through the interstellar medium. We request herein Astrosat multiwaveband time to continue our program to map out this SNR in the UV narrow band filters, as well as in soft x-ray (0.3-10 keV) bands. The narrow band UVIT/NUV, and narrow + broad band UVIT/FUV filters trace emission line regions in C IV, He II, and Mg II, our observations will detect and isolate regions of hot (10$^{4-5}$ K) and intermediate (5000- 8000 K) temperatures. Combined with Astrosat/SXT spectra and, archival x-ray and optical data of select fields, this will help determinethe evolving physical conditions as the SN blast wave and ejecta interact with the local ISM.",fsutaria
39,2018-10-08 18:59:24,A05_069,T05,A05_069T05_9000002420,NGC 6960-VII,312.791042,30.071333,uvit1,"The 5000- 8000 yr old Cygnus supernova remnant (SNR), 450 pc away, is optically, UV and x-ray bright, and serves as an excellent laboratory to study the propagation and the interaction of the supernova shock and its ejecta, as the blast wave propagates through the interstellar medium. We request herein Astrosat multiwaveband time to continue our program to map out this SNR in the UV narrow band filters, as well as in soft x-ray (0.3-10 keV) bands. The narrow band UVIT/NUV, and narrow + broad band UVIT/FUV filters trace emission line regions in C IV, He II, and Mg II, our observations will detect and isolate regions of hot (10$^{4-5}$ K) and intermediate (5000- 8000 K) temperatures. Combined with Astrosat/SXT spectra and, archival x-ray and optical data of select fields, this will help determinethe evolving physical conditions as the SN blast wave and ejecta interact with the local ISM.",fsutaria
40,2018-10-09 16:18:54,A05_069,T02,A05_069T02_9000002422,NGC 6960-IV,312.258667,30.404972,uvit1,"The 5000- 8000 yr old Cygnus supernova remnant (SNR), 450 pc away, is optically, UV and x-ray bright, and serves as an excellent laboratory to study the propagation and the interaction of the supernova shock and its ejecta, as the blast wave propagates through the interstellar medium. We request herein Astrosat multiwaveband time to continue our program to map out this SNR in the UV narrow band filters, as well as in soft x-ray (0.3-10 keV) bands. The narrow band UVIT/NUV, and narrow + broad band UVIT/FUV filters trace emission line regions in C IV, He II, and Mg II, our observations will detect and isolate regions of hot (10$^{4-5}$ K) and intermediate (5000- 8000 K) temperatures. Combined with Astrosat/SXT spectra and, archival x-ray and optical data of select fields, this will help determinethe evolving physical conditions as the SN blast wave and ejecta interact with the local ISM.",fsutaria
41,2018-10-10 14:51:20,A05_069,T01,A05_069T01_9000002424,Cygnus S-1,312.881625,29.067722,uvit1,"The 5000- 8000 yr old Cygnus supernova remnant (SNR), 450 pc away, is optically, UV and x-ray bright, and serves as an excellent laboratory to study the propagation and the interaction of the supernova shock and its ejecta, as the blast wave propagates through the interstellar medium. We request herein Astrosat multiwaveband time to continue our program to map out this SNR in the UV narrow band filters, as well as in soft x-ray (0.3-10 keV) bands. The narrow band UVIT/NUV, and narrow + broad band UVIT/FUV filters trace emission line regions in C IV, He II, and Mg II, our observations will detect and isolate regions of hot (10$^{4-5}$ K) and intermediate (5000- 8000 K) temperatures. Combined with Astrosat/SXT spectra and, archival x-ray and optical data of select fields, this will help determinethe evolving physical conditions as the SN blast wave and ejecta interact with the local ISM.",fsutaria
42,2018-10-11 12:10:50,A05_069,T03,A05_069T03_9000002426,NGC 6960-V,311.885958,30.741139,uvit1,"The 5000- 8000 yr old Cygnus supernova remnant (SNR), 450 pc away, is optically, UV and x-ray bright, and serves as an excellent laboratory to study the propagation and the interaction of the supernova shock and its ejecta, as the blast wave propagates through the interstellar medium. We request herein Astrosat multiwaveband time to continue our program to map out this SNR in the UV narrow band filters, as well as in soft x-ray (0.3-10 keV) bands. The narrow band UVIT/NUV, and narrow + broad band UVIT/FUV filters trace emission line regions in C IV, He II, and Mg II, our observations will detect and isolate regions of hot (10$^{4-5}$ K) and intermediate (5000- 8000 K) temperatures. Combined with Astrosat/SXT spectra and, archival x-ray and optical data of select fields, this will help determinethe evolving physical conditions as the SN blast wave and ejecta interact with the local ISM.",fsutaria
